delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
23232,24858,16905,16775071,13272,12701,17693,7218,forward
71610,24161,11588,26388,15574,24254,17115,7307,forward
140942,18621,6236,12884,5828,3610,1184,722,forward
753957,88432,32609,76898,23967,12160,8723,4824,forward
928888,16773687,70528,21354,5306,9332,5682,4251,forward
9262,8676,16745976,18240,10355,28823,28501,7468,forward
445357,16747323,7690,16761871,5697,14705,15758,7034,forward
322120,16763967,6962,31367,9551,8949,5484,2905,forward
23196,67113,21264,16761808,7943,12092,13205,5338,forward
9962,16752176,6601,16765153,4029,12625,23073,11544,forward
16756270,16761797,13682,16751825,8951,17486,10952,5395,forward
297667,103504,30397,16761468,15454,19426,12227,4370,forward
1355059,91734,16747526,28362,30448,18263,10760,3491,forward
61090,92815,16747703,21868,11162,26691,8263,10826,forward
95793,284527,34364,30684,16755839,16745493,16745884,14583,forward
2521970,18357,7567,12292,7326,5960,5730,420,forward
49319,16759761,9369,5387,8771,6080,3858,2758,forward
103074,80073,24777,16750838,15686,16754824,16756863,7755,forward
475777,16754555,6373,7424,6690,8166,4326,2578,forward
802402,126712,5034,16758405,73556,16771732,21452,15330,forward
411380,16772418,12480,16759320,27231,26250,21534,17480,forward
3415507,382555,52562,23404,24970,16747906,16757515,14080,forward
1118386,63080,5367,16754587,16752732,30431,28764,8546,forward
948836,25622,17336,3519,4012,20210,2643,1632,forward
339638,187834,16755629,76319,16753237,17155,16754140,3955,forward
16756104,20152,12939,16767391,10236,19329,18484,5558,forward
47220,20533,6651,3847,3180,5153,1592,1592,forward
158240,93619,27731,13419,25804,16752973,10074,7680,forward
92088,70534,25914,17548,20695,18422,25061,13935,forward
73518,16761011,13356,16748112,14519,23859,10471,9763,forward
75258,16763143,24876,20366,11738,4795,8415,6516,forward
63406,16765402,16750337,30093,4458,24125,19634,7186,forward
16750692,26552,10294,16746258,20811,22618,8006,8144,forward
113324,16768970,21730,23241,6248,20208,9228,9767,forward
56781,27706,22146,12667,16752785,11545,12622,11371,forward
196959,16750730,16748599,7520,8615,11035,14005,9638,forward
196392,67819,4446,23734,11776,13545,12477,7308,forward
16747091,13727,7437,12091,15164,15309,20818,18447,forward
16766693,19251,22567,16748819,23471,13462,7303,6095,forward
16748627,71526,12936,17808,17761,22175,17442,6509,forward
513281,101174,16775703,71027,24530,16765729,71776,29067,forward
134721,28967,1803,7898,4385,7903,6599,1658,forward
555340,101247,25755,13734,12205,16753892,16744799,12228,forward
24033,7309,9079,28661,22139,13954,15339,5184,forward
634383,16772777,22440,19487,16487,11329,22640,14770,forward
16765499,16752924,9174,16772267,15973,12590,17960,4584,forward
29770,16755460,14274,16758703,15008,12002,7444,3175,forward
199386,16767864,24254,21355,7686,8999,6614,8516,forward
6572,16257,21280,66362,13140,18944,10530,5383,forward
84893,25139,11042,28849,14397,26474,13047,17596,forward
86273,11509,16034,16748715,19487,18223,8778,5248,forward
16769280,21534,15711,19481,8336,6097,12746,3005,forward
77433,21393,9902,16761223,5645,19740,10893,1815,forward
11954,3163,11289,15789,11063,13069,7352,2014,forward
