delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
72200,5365,16766123,66885,6845,14872,22220,8924,down
160642,16746389,17581,2143,4334,2658,7204,6175,down
136666,16758615,9903,2595,5366,1348,1903,253,down
2739048,439540,38362,84030,30972,16340,6959,5149,down
2086093,1853855,75916,77262,45253,86442,29864,20901,down
364338,68789,11868,11836,5964,3287,2127,241,down
20112,77733,14033,5848,9174,27914,18246,4734,down
81298,7424,19308,7317,10868,11380,9210,3899,down
158682,16549,5626,3353,7779,5531,2329,2449,down
193332,30583,6154,597,3600,1253,192,16777145,down
329430,16747456,4344,5158,25235,6395,5603,2315,down
215729,14788,5534,1159,2456,1772,550,819,down
176420,16767059,7736,5719,10626,3487,911,804,down
423699,74432,18270,12945,16747008,9250,6762,5864,down
135705,77131,16751960,19439,7153,11987,6120,1791,down
104263,55206,20149,9529,13221,5764,8014,2109,down
165219,16776282,12813,19378,17412,17025,6355,3640,down
280163,16750397,29615,6186,8694,13144,4824,747,down
16765835,15332,16742,31758,4600,11161,1958,2569,down
16748880,20434,3409,6870,6945,4668,2671,5164,down
36151,29551,6119,6846,4568,7910,5660,1513,down
90249,9723,2500,10276,23624,5346,3603,2157,down
467616,16772201,19076,5467,6010,2034,1118,1128,down
108050,26091,1523,6607,3703,1882,1073,335,down
230611,78272,16864,21742,16662,3573,1550,1786,down
142345,16758956,25890,1046,8202,4818,1312,427,down
16757385,16753949,10142,6811,20270,10224,3124,4561,down
116149,16777049,20443,8234,4013,3873,1072,407,down
716792,235322,42805,16749572,28067,11501,9198,2764,down
2136378,139720,57003,16748274,20063,16748764,10741,13143,down
639040,16767135,10511,5642,6582,4262,2832,921,down
286316,27720,17912,16110,12118,10424,2558,1839,down
17215,14949,28070,16754760,3958,10878,1790,1580,down
16776160,83753,9247,6045,7710,2829,137,344,down
1136304,430976,16750008,16767503,16071,16598,5978,7001,down
171473,13217,18856,7942,1933,1743,687,523,down
63604,4575,11523,4415,4471,1733,1083,16777146,down
583378,15728,4951,17865,16531,11924,2615,2366,down
16744801,16751089,9393,15210,19333,5405,1676,4128,down
672134,16767120,29548,16294,3323,8407,3780,1980,down
